stack=a5n_s0;stackdb=a5n_s0_db2;saveTime=3525156613.192000;version=20150903_v1;numHeaderRow=16;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,
,0,0,NaN,0,260,261,78.7,21,0.35,57,0,0,,
,1,1,NaN,261,500,240,57.4,17,0.35,57,0,0,,
,2,2,NaN,501,611,111,27.3,7,0.35,57,0,0,,
,3,3,NaN,612,736,125,30.1,8,0.35,57,0,0,,
,4,4,NaN,737,899,163,39.8,8,0.35,57,0,0,,
,5,5,NaN,900,1038,139,33.8,15,0.35,57,0,0,,
,6,6,NaN,1039,1252,214,48.1,16,0.35,57,0,0,,
,7,7,NaN,1253,1480,228,51.3,23,0.35,57,0,0,,
,8,8,NaN,1481,1767,287,91.8,28,0.35,57,0,0,,
,9,9,NaN,1768,1945,178,40.7,9,0.35,57,0,0,,
,10,10,NaN,1946,2412,467,116.6,22,0.35,57,0,0,,
,11,11,NaN,2413,2979,567,132,45,0.35,57,0,0,,
,12,12,NaN,2980,3207,228,59.8,14,0.35,57,0,0,,
,13,13,NaN,3208,3460,253,52,12,0.35,57,0,0,,
,14,14,NaN,3461,3659,199,42.9,12,0.35,57,0,0,,
,15,15,NaN,3660,3902,243,58.7,16,0.35,57,0,0,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,152.100006,147.600006,14.000000,14.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.000000,-42.079166,NaN,NaN,NaN,
NaN,NaN,151.740005,147.600006,14.000000,14.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.360001,-41.719166,NaN,NaN,NaN,
NaN,NaN,151.379150,147.606812,12.321428,12.000000,0.408806,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.720920,-41.358246,NaN,NaN,NaN,
NaN,NaN,151.200012,147.420013,12.901235,13.000000,0.190588,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.979733,-41.099434,NaN,NaN,NaN,
NaN,NaN,151.021576,147.407425,12.938622,13.000000,0.331901,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.158612,-40.920555,NaN,NaN,NaN,
NaN,NaN,150.841446,147.408478,13.139535,13.000000,0.376514,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.338745,-40.740421,NaN,NaN,NaN,
NaN,NaN,150.669006,147.348053,14.000000,14.000000,0.374089,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.521465,-40.557701,NaN,NaN,NaN,
NaN,NaN,150.480011,147.319504,13.801722,14.000000,0.343595,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.712605,-40.366562,NaN,NaN,NaN,
NaN,NaN,150.300003,147.264313,13.290949,13.000000,0.434483,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.900884,-40.178284,NaN,NaN,NaN,
NaN,NaN,150.144440,147.224564,12.718102,13.000000,0.402859,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.061445,-40.017723,NaN,NaN,NaN,
NaN,NaN,149.971085,147.171387,12.466666,12.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.242773,-39.836395,NaN,NaN,NaN,
NaN,NaN,149.449921,147.040329,13.202382,13.000000,0.418348,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.780163,-39.299004,NaN,NaN,NaN,
NaN,NaN,149.277878,147.008484,14.000000,14.000000,0.379528,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.955128,-39.124039,NaN,NaN,NaN,
NaN,NaN,149.054092,147.003662,14.000000,14.000000,0.393870,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.178965,-38.900200,NaN,NaN,NaN,
NaN,NaN,148.870209,147.019196,14.000000,14.000000,0.402787,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.363504,-38.715664,NaN,NaN,NaN,
NaN,NaN,148.681808,147.045639,14.000000,14.000000,0.398880,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.553751,-38.525414,NaN,NaN,NaN,
NaN,NaN,148.453812,147.106903,14.103670,14.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.789835,-38.289330,NaN,NaN,NaN,
NaN,NaN,148.309570,147.143463,15.000000,15.000000,0.366399,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.938638,-38.140530,NaN,NaN,NaN,
