stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525156613.743000;version=20150903_v1;numHeaderRow=16;,
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,
,0,0,NaN,0,278,279,83.1,21,0.35,57,0,0,,
,1,1,NaN,279,514,236,55.1,17,0.35,57,0,0,,
,2,2,NaN,515,628,114,28.7,7,0.35,57,0,0,,
,3,3,NaN,629,748,120,28,8,0.35,57,0,0,,
,4,4,NaN,749,921,173,37.3,8,0.35,57,0,0,,
,5,5,NaN,922,1046,125,30.5,16,0.35,57,0,0,,
,6,6,NaN,1047,1300,254,57.5,17,0.35,57,0,0,,
,7,7,NaN,1301,1507,207,50.4,21,0.35,57,0,0,,
,8,8,NaN,1508,1738,231,81.8,23,0.35,57,0,0,,
,9,9,NaN,1739,1923,185,39.5,9,0.35,57,0,0,,
,10,10,NaN,1924,2338,415,103.1,18,0.35,57,0,0,,
,11,11,NaN,2339,2930,592,143.4,45,0.35,57,0,0,,
,12,12,NaN,2931,3152,222,58.4,14,0.35,57,0,0,,
,13,13,NaN,3153,3403,251,51.6,12,0.35,57,0,0,,
,14,14,NaN,3404,3618,215,47.6,12,0.35,57,0,0,,
,15,15,NaN,3619,3870,252,62.3,15,0.35,57,0,0,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,148.500000,144.540009,17.000000,17.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.000000,-44.237602,NaN,NaN,NaN,
NaN,NaN,148.139999,144.720001,17.000000,17.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.402490,-43.835114,NaN,NaN,NaN,
NaN,NaN,147.779999,144.720001,16.000000,16.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.762490,-43.475113,NaN,NaN,NaN,
NaN,NaN,147.420013,144.720001,16.000000,16.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.122476,-43.115128,NaN,NaN,NaN,
NaN,NaN,147.060013,144.540009,16.000000,16.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.524965,-42.712639,NaN,NaN,NaN,
NaN,NaN,146.700012,144.360001,16.000000,16.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.927461,-42.310143,NaN,NaN,NaN,
NaN,NaN,146.355637,144.236282,15.320019,15.000000,0.299796,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.293386,-41.944218,NaN,NaN,NaN,
NaN,NaN,146.178055,144.157425,15.676554,16.000000,0.424502,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.487689,-41.749912,NaN,NaN,NaN,
NaN,NaN,145.964279,144.064255,15.014545,15.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.720886,-41.516716,NaN,NaN,NaN,
NaN,NaN,145.809647,144.023346,15.688100,16.000000,0.429501,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.880838,-41.356766,NaN,NaN,NaN,
NaN,NaN,145.655136,143.942200,15.918886,16.000000,0.435531,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.055361,-41.182240,NaN,NaN,NaN,
NaN,NaN,145.484299,143.888290,15.726981,16.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.234502,-41.003101,NaN,NaN,NaN,
NaN,NaN,145.297226,143.851105,15.540007,16.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.425235,-40.812366,NaN,NaN,NaN,
NaN,NaN,145.136993,143.772049,15.440866,15.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.603909,-40.633694,NaN,NaN,NaN,
NaN,NaN,144.969559,143.721771,15.569900,16.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.778729,-40.458874,NaN,NaN,NaN,
NaN,NaN,144.807129,143.651535,15.706814,16.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.955694,-40.281906,NaN,NaN,NaN,
NaN,NaN,144.559921,143.660645,15.861386,16.000000,0.398194,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,4.203070,-40.034531,NaN,NaN,NaN,
