stack=a5n_s3;stackdb=a5n_s3_db2;saveTime=3525156614.809000;version=20150903_v1;numHeaderRow=16;,
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,
,0,0,NaN,0,276,277,82.7,21,0.35,57,0,0,,
,1,1,NaN,277,514,238,61.3,16,0.35,57,0,0,,
,2,2,NaN,515,633,119,28.5,7,0.35,57,0,0,,
,3,3,NaN,634,758,125,28.9,8,0.35,57,0,0,,
,4,4,NaN,759,912,154,36.3,8,0.35,57,0,0,,
,5,5,NaN,913,1045,133,32.2,15,0.35,57,0,0,,
,6,6,NaN,1046,1302,257,56.7,17,0.35,57,0,0,,
,7,7,NaN,1303,1500,198,48.3,19,0.35,57,0,0,,
,8,8,NaN,1501,1792,292,96.5,24,0.35,57,0,0,,
,9,9,NaN,1793,1970,178,42.3,9,0.35,57,0,0,,
,10,10,NaN,1971,2374,404,103.5,18,0.35,57,0,0,,
,11,11,NaN,2375,2966,592,138.8,45,0.35,57,0,0,,
,12,12,NaN,2967,3187,221,58.9,13,0.35,57,0,0,,
,13,13,NaN,3188,3392,205,43.9,11,0.35,57,0,0,,
,14,14,NaN,3393,3577,185,42,12,0.35,57,0,0,,
,15,15,NaN,3578,3836,259,64,14,0.35,57,0,0,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,147.960007,148.320007,15.000000,15.000000,0.397466,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.000000,-44.593300,NaN,NaN,NaN,
NaN,NaN,147.683182,148.153442,15.071213,15.000000,0.195274,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.323073,-44.270226,NaN,NaN,NaN,
NaN,NaN,147.495148,148.035660,16.023106,16.000000,0.194477,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.544950,-44.048351,NaN,NaN,NaN,
NaN,NaN,147.284393,147.891693,16.075298,16.000000,0.342442,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,0.800183,-43.793118,NaN,NaN,NaN,
NaN,NaN,147.087845,147.735474,14.943662,15.000000,0.367105,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.051252,-43.542049,NaN,NaN,NaN,
NaN,NaN,146.900467,147.606323,14.915169,15.000000,0.370213,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.278827,-43.314472,NaN,NaN,NaN,
NaN,NaN,146.720062,147.430038,14.885731,15.000000,0.364931,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.531061,-43.062237,NaN,NaN,NaN,
NaN,NaN,146.550659,147.448425,14.164047,14.000000,0.383643,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.701459,-42.891842,NaN,NaN,NaN,
NaN,NaN,146.365005,147.419113,14.898975,15.000000,0.193846,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,1.889413,-42.703888,NaN,NaN,NaN,
NaN,NaN,145.980011,147.344757,15.000000,15.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.281522,-42.311779,NaN,NaN,NaN,
NaN,NaN,145.637482,147.280212,15.000000,15.000000,0.249232,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.630080,-41.963219,NaN,NaN,NaN,
NaN,NaN,145.457764,147.277924,15.000000,15.000000,0.257144,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.809812,-41.783489,NaN,NaN,NaN,
NaN,NaN,145.306824,147.232742,15.000000,15.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,2.967369,-41.625931,NaN,NaN,NaN,
NaN,NaN,145.140305,147.179993,15.012727,15.000000,0.327287,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.142044,-41.451256,NaN,NaN,NaN,
NaN,NaN,144.924103,147.109680,15.622603,16.000000,0.382315,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.369391,-41.223907,NaN,NaN,NaN,
NaN,NaN,144.789352,147.055099,16.000000,16.000000,0.369186,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.514776,-41.078522,NaN,NaN,NaN,
NaN,NaN,144.557129,147.014374,16.000000,16.000000,0.385717,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.750544,-40.842758,NaN,NaN,NaN,
NaN,NaN,144.381729,146.969879,14.962589,15.000000,0.338802,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,3.931499,-40.661800,NaN,NaN,NaN,
NaN,NaN,144.233490,146.917389,14.913979,15.000000,0.291429,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,4.088757,-40.504543,NaN,NaN,NaN,
NaN,NaN,144.033051,146.791885,14.663547,15.000000,0.370987,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,4.325246,-40.268055,NaN,NaN,NaN,
NaN,NaN,143.886383,146.702988,14.765170,15.000000,0.423591,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,4.496752,-40.096550,NaN,NaN,NaN,
NaN,NaN,143.654083,146.662445,15.304154,15.000000,0.410144,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,4.732563,-39.860737,NaN,NaN,NaN,
NaN,NaN,143.494446,146.572357,15.403542,15.000000,0.421276,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,4.915866,-39.677433,NaN,NaN,NaN,
NaN,NaN,143.306870,146.539200,15.407221,15.000000,0.363580,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,5.106350,-39.486950,NaN,NaN,NaN,
NaN,NaN,143.105011,146.511993,16.132788,16.000000,0.367703,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,5.310034,-39.283264,NaN,NaN,NaN,
NaN,NaN,142.926697,146.466476,16.000000,16.000000,0.379545,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,5.494066,-39.099236,NaN,NaN,NaN,
NaN,NaN,142.725418,146.426651,15.833117,16.000000,0.279000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,5.699246,-38.894054,NaN,NaN,NaN,
NaN,NaN,142.518036,146.434494,15.829954,16.000000,0.321031,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,5.906777,-38.686523,NaN,NaN,NaN,
NaN,NaN,142.380005,146.426163,17.000000,17.000000,0.371709,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,6.045059,-38.548241,NaN,NaN,NaN,
NaN,NaN,142.200012,146.446106,17.000000,17.000000,0.386647,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,6.226153,-38.367146,NaN,NaN,NaN,
NaN,NaN,142.029968,146.443192,17.016338,17.000000,0.402304,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,6.396222,-38.197079,NaN,NaN,NaN,
NaN,NaN,141.861938,146.387939,17.506981,18.000000,0.421700,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,6.573103,-38.020195,NaN,NaN,NaN,
NaN,NaN,141.717987,146.288101,18.000000,18.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,6.748288,-37.845013,NaN,NaN,NaN,
NaN,NaN,141.567123,146.171539,18.000000,18.000000,0.417717,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,6.938935,-37.654366,NaN,NaN,NaN,
NaN,NaN,141.391464,146.096115,18.000000,18.000000,0.320002,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,7.130103,-37.463196,NaN,NaN,NaN,
NaN,NaN,140.940002,146.160004,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,7.586063,-37.007236,NaN,NaN,NaN,
NaN,NaN,140.580002,145.980011,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,7.988552,-36.604748,NaN,NaN,NaN,
NaN,NaN,140.220001,145.980011,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,8.348553,-36.244747,NaN,NaN,NaN,
NaN,NaN,139.860001,145.800003,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,8.751049,-35.842251,NaN,NaN,NaN,
NaN,NaN,139.500000,145.620010,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,9.153539,-35.439762,NaN,NaN,NaN,
NaN,NaN,139.320007,145.620010,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,9.333531,-35.259769,NaN,NaN,NaN,
NaN,NaN,138.960007,145.440002,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,9.736028,-34.857273,NaN,NaN,NaN,
NaN,NaN,138.600006,145.080002,19.000000,19.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,10.245146,-34.348152,NaN,NaN,NaN,
NaN,NaN,138.092224,145.137451,17.708050,18.000000,0.375616,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,10.756166,-33.837135,NaN,NaN,NaN,
NaN,NaN,137.947281,145.137466,17.947609,18.000000,0.374008,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,10.901110,-33.692192,NaN,NaN,NaN,
NaN,NaN,137.762039,145.167252,18.211645,18.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,11.088731,-33.504570,NaN,NaN,NaN,
NaN,NaN,137.639343,145.142670,19.000000,19.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,11.213865,-33.379433,NaN,NaN,NaN,
NaN,NaN,137.424149,145.074997,18.683868,19.000000,0.399653,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,11.439450,-33.153851,NaN,NaN,NaN,
NaN,NaN,137.264023,145.023926,19.000000,19.000000,0.362669,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,11.607523,-32.985779,NaN,NaN,NaN,
NaN,NaN,136.980011,144.540009,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,12.168628,-32.424671,NaN,NaN,NaN,
NaN,NaN,136.620010,144.540009,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,12.528628,-32.064671,NaN,NaN,NaN,
NaN,NaN,136.260010,144.540009,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,12.888629,-31.704670,NaN,NaN,NaN,
NaN,NaN,135.900009,144.540009,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,13.248630,-31.344669,NaN,NaN,NaN,
NaN,NaN,135.540009,144.540009,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,13.608630,-30.984669,NaN,NaN,NaN,
NaN,NaN,135.180008,144.540009,21.000000,21.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,13.968631,-30.624668,NaN,NaN,NaN,
NaN,NaN,134.820007,144.540009,21.000000,21.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,14.328631,-30.264668,NaN,NaN,NaN,
NaN,NaN,134.460007,144.360001,21.000000,21.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,14.731128,-29.862171,NaN,NaN,NaN,
