stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525324133.652000;version=20150903_v1;numObjects=379;numSpines=263;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-09-15,10:07:50,2015-09-15,10:07:50,3525156470.834000,3525156470.834000,,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,143.46,144.94,18,,,0,22,5.3894,-38.848,0,110.93,radius2,2,143.28,144.37,17.837,2013-02-06,12:03:12,2015-09-15,10:08:16,3442996992.000000,3525156496.840000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,139.07,144.34,19,,,0,36,9.9915,-34.246,0,103.48,radius2,2,139.09,143.04,18.413,2013-02-06,12:03:12,2015-09-17,08:17:48,3442996992.000000,3525322668.151000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,114.79,137.21,21,,,0,119,37.397,-6.8408,0,91.337,radius2,2,115.7,135.82,21.87,2013-02-06,12:03:12,2015-09-17,08:17:48,3442996992.000000,3525322668.152000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,108.48,133.32,23,,,0,149,44.238,0,0,73.063,radius2,2,110.07,132.04,21.995,2013-02-06,12:07:28,2015-09-17,08:17:48,3442997248.000000,3525322668.153000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,106.6,131.3,22,,,0,160,47.341,3.1037,0,83.609,radius2,2,107.74,130.27,22.618,2013-02-06,12:07:28,2015-09-17,08:17:48,3442997248.000000,3525322668.154000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,89.251,117.33,23,,,0,248,71.59,27.353,0,122.91,radius2,2,89.072,116.47,24,2013-02-06,12:07:28,2015-09-15,10:08:16,3442997248.000000,3525156496.855000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,82.334,111.14,20,,,0,268,79.664,35.426,0,243.82,radius1,1,82.641,112.05,22.6,2013-02-06,12:07:28,2015-09-15,10:08:16,3442997248.000000,3525156496.857000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,89.399,114.16,24,,,0,251,73.266,29.028,0,285.68,radius1,1,88.804,114.55,23.4,2013-02-06,12:07:28,2015-09-15,10:08:16,3442997248.000000,3525156496.860000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,94.191,116.49,24,,,0,238,67.352,23.115,0,260.58,radius1,1,93.514,117.55,24.4,2013-02-06,12:07:28,2015-09-15,10:08:16,3442997248.000000,3525156496.862000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,97.106,117.62,24,,,0,225,63.97,19.732,0,277.17,radius1,1,96.046,119.12,24.767,2013-02-06,12:07:28,2015-09-15,10:08:16,3442997248.000000,3525156496.864000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,139.22,138.79,20,,,0,37,10.342,-33.896,0,254.72,radius1,1,139.22,141.62,18.953,2013-02-06,12:11:44,2015-09-17,08:17:48,3442997504.000000,3525322668.155000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,137.35,139.34,20,,,0,42,12.132,-32.105,0,270.28,radius1,1,137.34,141.32,20.8,2013-02-06,12:28:48,2015-09-17,08:17:48,3442998528.000000,3525322668.155000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,98.997,123.58,22,,,0,204,59.127,14.89,0,133.9,radius2,2,98.734,123.15,23.435,2013-11-06,09:53:04,2015-09-15,10:08:16,3466576384.000000,3525156496.870000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,119.95,139.71,22,,,0,97,31.262,-12.975,0,240.77,radius2,2,120.29,138.74,22.217,2013-11-06,09:53:04,2015-09-15,10:08:16,3466576384.000000,3525156496.872000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,122.7,141.26,21,,,0,86,27.061,-17.176,0,96.428,radius2,2,122.96,140.52,21.29,2013-11-06,09:57:20,2015-09-15,10:08:16,3466576640.000000,3525156496.874000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,92.698,119.36,25,,,0,236,66.587,22.349,0,77.125,radius2,2,93.127,119.12,24.492,2013-11-06,10:14:24,2015-09-15,10:08:16,3466577664.000000,3525156496.879000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,114.2,131.16,21,,,0,135,41.306,-2.9314,0,278.3,radius1,1,113.39,132.26,22.273,2013-11-06,10:18:40,2015-09-15,10:08:16,3466577920.000000,3525156496.884000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,132.15,143.36,22,,,0,58,17.678,-26.559,0,89.882,radius2,2,132.14,142.51,21.566,2013-11-06,10:22:56,2015-09-15,10:08:16,3466578176.000000,3525156496.888000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
1,spineROI,0,133.3,143.66,22,,,0,55,16.574,-27.663,0,94.836,radius2,2,133.12,142.46,20.966,2013-11-06,10:22:56,2015-09-15,10:08:16,3466578176.000000,3525156496.891000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,125.6,142.61,21,,,0,72,22.288,-21.949,0,56.88,radius2,2,127.63,141.29,21.605,2013-11-06,10:27:12,2015-09-15,10:08:16,3466578432.000000,3525156496.894000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,146.15,142.26,16,,,0,7,2.4877,-41.75,0,241.23,radius1,1,146.47,143.52,15.54,2013-11-06,10:27:12,2015-09-15,10:08:16,3466578432.000000,3525156496.896000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,ch1 den start;ch2 den start;,,
22,pivotPnt,3,110.54,131.54,22,,,0,149,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
23,controlPnt,2,148.5,144.54,17,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
24,controlPnt,2,134.46,141.66,21,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
25,controlPnt,2,120.96,138.24,21,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
26,controlPnt,2,108,129.6,23,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
27,controlPnt,2,96.48,120.78,24,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
28,controlPnt,2,88.2,114.84,23,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
29,controlPnt,2,79.74,112.14,23,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,110.35,112.17,10,,,1,287,1.9557,-17.47,0,281.57,radius1,1,109.11,111.2,9.4806,2013-02-08,15:53:36,2015-09-17,08:17:48,3443183616.000000,3525322668.155000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
30,spineROI,0,128.19,95.987,6,,,1,391,27.411,7.9849,0,274.7,radius1,1,127.75,95.601,5.6847,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.901000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,130.53,94.825,8,,,1,404,30.522,11.096,0,265.73,radius1,1,130.01,93.697,6.8595,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.903000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,134.27,92.838,7,,,1,427,35.535,16.109,0,243.93,radius1,1,134.16,90.997,7.2667,2013-02-08,15:57:52,2015-09-17,08:17:48,3443183872.000000,3525322668.156000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
