stack=a5n_s2;stackdb=a5n_s2_db2;saveTime=3525316772.327000;version=20150903_v1;,
idx,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,bsss,bssm,bSum,bMean,bSD,bN,bxyManual,bxPos,byPos,dSum,dMean,dSD,dN,dPlus,dMinus,bsds,bsdm,sp_struct,sp_am,den_am,,
0.000000,NaN,NaN,3525156471.285000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1.000000,NaN,NaN,3525156499.173000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,12153.000000,113.579439,133.186423,107.000000,10964.000000,102.467290,1189.000000,11.112150,4.146667,107.000000,NaN,141.472473,147.940002,14852.000000,243.475410,149.271967,61.000000,8.000000,8.000000,13663.000000,232.363260,NaN,NaN,NaN,NaN,
2.000000,NaN,NaN,3525156499.175000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,23493.000000,177.977273,184.310577,132.000000,21754.000000,164.803030,1739.000000,13.174242,5.463964,132.000000,NaN,134.155350,147.630005,16724.000000,283.457627,95.806436,59.000000,NaN,NaN,14985.000000,270.283385,NaN,NaN,NaN,NaN,
3.000000,NaN,NaN,3525156499.178000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,30634.000000,180.200000,192.693478,170.000000,27147.000000,159.688235,3487.000000,20.511765,11.643236,170.000000,NaN,112.972275,142.259995,19681.000000,223.647727,87.128923,88.000000,18.000000,18.000000,16194.000000,203.135963,NaN,NaN,NaN,NaN,
4.000000,NaN,NaN,3525156499.183000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,30443.000000,156.922680,131.020819,194.000000,26572.000000,136.969072,3871.000000,19.953608,9.678935,194.000000,NaN,105.255363,135.104630,21004.000000,269.282051,72.805719,78.000000,NaN,NaN,17133.000000,249.328443,NaN,NaN,NaN,NaN,
5.000000,NaN,NaN,3525156499.186000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,36100.000000,188.020833,227.505318,192.000000,32564.000000,169.604167,3536.000000,18.416667,6.747762,192.000000,NaN,100.570000,133.678604,33333.000000,317.457143,93.478404,105.000000,16.000000,16.000000,29797.000000,299.040476,NaN,NaN,NaN,NaN,
6.000000,NaN,NaN,3525156499.188000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,12783.000000,122.913462,115.613611,104.000000,10638.000000,102.288462,2145.000000,20.625000,7.716063,104.000000,NaN,100.472000,129.230286,18717.000000,301.887097,102.820886,62.000000,8.000000,8.000000,16572.000000,281.262097,NaN,NaN,NaN,NaN,
7.000000,NaN,NaN,3525156499.190000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,24588.000000,157.615385,150.073851,156.000000,5003.000000,32.070513,19585.000000,125.544872,77.401954,156.000000,NaN,94.604462,123.150002,15083.000000,327.891304,138.564903,46.000000,NaN,NaN,-4502.000000,202.346433,NaN,NaN,NaN,NaN,
8.000000,NaN,NaN,3525156499.192000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,20756.000000,150.405797,121.968264,138.000000,-38615.000000,-279.818841,59371.000000,430.224638,226.578970,138.000000,NaN,81.153000,109.185204,2814.000000,351.750000,70.386180,8.000000,NaN,NaN,-56557.000000,-78.474638,NaN,NaN,NaN,NaN,
9.000000,NaN,NaN,3525156499.195000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,26360.000000,204.341085,131.800779,129.000000,23476.000000,181.984496,2884.000000,22.356589,13.892331,129.000000,NaN,89.394043,109.306953,15083.000000,327.891304,138.564903,46.000000,NaN,NaN,12199.000000,305.534715,NaN,NaN,NaN,NaN,
